geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US11001009901,"Census Tract 99.01, District of Columbia, DC",2236,235,2201,236,104,75,2032,232,0,12,0,12,0,12,9,14,56,50,18,30,38,42,35,49,35,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009902,"Census Tract 99.02, District of Columbia, DC",2830,280,2799,278,22,25,2714,277,0,12,12,20,0,12,0,12,51,42,0,12,51,42,31,44,2,4,29,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009903,"Census Tract 99.03, District of Columbia, DC",1768,212,1745,214,60,54,1628,224,57,76,0,12,0,12,0,12,0,12,0,12,0,12,23,24,10,14,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009904,"Census Tract 99.04, District of Columbia, DC",2171,261,2068,252,22,16,1993,274,0,12,1,3,0,12,0,12,52,59,0,12,52,59,103,90,5,9,47,72,0,12,0,12,0,12,19,33,32,48,0,12,32,48
14000US11001009905,"Census Tract 99.05, District of Columbia, DC",2763,411,2680,388,20,28,2659,386,1,2,0,12,0,12,0,12,0,12,0,12,0,12,83,115,83,115,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009906,"Census Tract 99.06, District of Columbia, DC",1519,212,1485,222,27,40,1438,232,0,12,0,12,0,12,0,12,20,32,0,12,20,32,34,38,18,27,16,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009907,"Census Tract 99.07, District of Columbia, DC",2842,334,2749,315,0,12,2740,315,0,12,0,12,0,12,0,12,9,15,0,12,9,15,93,103,14,21,20,30,0,12,0,12,0,12,0,12,59,71,0,12,59,71
14000US11001010100,"Census Tract 101, District of Columbia, DC",2443,186,2232,192,1456,212,326,100,0,12,351,174,18,29,46,54,35,28,0,12,35,28,211,108,147,95,10,16,0,12,11,18,0,12,32,32,11,17,0,12,11,17
14000US11001010200,"Census Tract 102, District of Columbia, DC",2543,242,2385,252,1109,182,1007,233,0,12,147,84,0,12,0,12,122,62,9,13,113,63,158,81,87,41,8,13,0,12,0,12,0,12,0,12,63,58,23,23,40,48
14000US11001010300,"Census Tract 103, District of Columbia, DC",3447,450,2764,401,745,210,1877,296,10,15,75,58,0,12,0,12,57,68,0,12,57,68,683,226,62,49,125,136,0,12,0,12,0,12,434,282,62,53,38,46,24,26
14000US11001010400,"Census Tract 104, District of Columbia, DC",4430,569,4341,570,255,130,4029,553,0,12,10,21,0,12,0,12,47,38,0,12,47,38,89,108,13,28,10,22,0,12,0,12,0,12,24,32,42,64,42,64,0,12
14000US11001010500,"Census Tract 105, District of Columbia, DC",3427,301,3234,303,1571,276,1365,330,15,25,224,145,0,12,0,12,59,49,0,12,59,49,193,103,61,63,50,47,20,30,0,12,0,12,49,57,13,55,0,12,13,55
14000US11001010600,"Census Tract 106, District of Columbia, DC",5119,404,4705,374,2560,400,1722,422,34,38,262,112,18,29,30,39,79,42,0,12,79,42,414,183,211,133,90,114,0,12,0,12,0,12,101,81,12,16,0,12,12,16
14000US11001010700,"Census Tract 107, District of Columbia, DC",1858,212,1784,214,1301,244,127,98,0,12,301,224,0,12,0,12,55,39,3,7,52,38,74,49,54,44,11,18,0,12,0,12,0,12,9,14,0,12,0,12,0,12
14000US11001010800,"Census Tract 108, District of Columbia, DC",6296,898,5916,839,4133,813,796,345,6,12,707,156,0,17,7,17,267,106,14,19,253,104,380,186,274,167,35,48,0,17,1,3,0,17,70,63,0,17,0,17,0,17
14000US11001010900,"Census Tract 109, District of Columbia, DC",4132,885,4080,884,56,57,4013,896,0,12,0,12,0,12,0,12,11,17,0,12,11,17,52,49,0,12,28,37,0,12,0,12,0,12,10,23,14,22,0,12,14,22
14000US11001011000,"Census Tract 110, District of Columbia, DC",3378,476,3141,454,1821,411,1084,261,24,38,146,80,0,12,0,12,66,47,24,35,42,39,237,113,163,86,4,11,0,12,0,12,0,12,44,48,26,40,0,12,26,40
14000US11001011100,"Census Tract 111, District of Columbia, DC",5083,571,4831,563,505,207,4249,570,0,12,4,8,0,12,0,12,73,46,0,12,73,46,252,117,65,59,90,82,0,12,0,12,0,12,90,96,7,16,0,12,7,16
