geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US11001003800,"Census Tract 38, District of Columbia, DC",5108,489,4178,376,2910,317,750,198,0,17,292,165,33,59,0,17,193,158,17,27,176,157,930,363,632,331,0,17,0,17,0,17,0,17,298,218,0,17,0,17,0,17
14000US11001003900,"Census Tract 39, District of Columbia, DC",4451,360,3962,344,3135,352,478,102,14,23,296,136,0,12,0,12,39,41,0,12,39,41,489,183,321,127,14,22,0,12,0,12,0,12,98,89,56,54,20,33,36,30
14000US11001004001,"Census Tract 40.01, District of Columbia, DC",3907,490,3613,491,3337,483,93,75,0,12,183,107,0,12,0,12,0,12,0,12,0,12,294,150,253,148,0,12,0,12,0,12,0,12,22,34,19,31,19,31,0,12
14000US11001004002,"Census Tract 40.02, District of Columbia, DC",2813,299,2601,304,2133,312,200,114,7,12,172,95,0,12,18,18,71,39,0,12,71,39,212,111,140,76,20,31,0,12,32,50,0,12,20,21,0,12,0,12,0,12
14000US11001004100,"Census Tract 41, District of Columbia, DC",2610,242,2335,219,1974,213,110,97,0,12,186,87,0,12,11,17,54,33,9,15,45,30,275,133,272,133,0,12,3,8,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001004201,"Census Tract 42.01, District of Columbia, DC",3642,371,3371,368,2789,339,314,117,18,25,166,94,0,12,0,12,84,72,34,54,50,49,271,151,222,142,0,12,0,12,0,12,0,12,29,33,20,33,20,33,0,12
14000US11001004202,"Census Tract 42.02, District of Columbia, DC",2760,237,2515,220,2108,202,66,48,18,30,269,107,0,12,9,14,45,42,0,12,45,42,245,133,130,76,10,14,0,12,0,12,0,12,73,79,32,37,23,34,9,16
14000US11001004300,"Census Tract 43, District of Columbia, DC",3481,339,2984,309,1884,304,904,187,0,12,85,56,0,12,0,12,111,82,0,12,111,82,497,201,358,199,0,12,0,12,0,12,0,12,97,95,42,82,42,82,0,12
14000US11001004400,"Census Tract 44, District of Columbia, DC",5555,432,5057,485,3620,406,1049,223,0,17,216,99,0,17,0,17,172,217,42,66,130,204,498,259,182,105,155,165,0,17,0,17,0,17,134,158,27,34,27,34,0,17
14000US11001004600,"Census Tract 46, District of Columbia, DC",2927,324,2794,321,886,210,1697,321,82,107,90,62,0,12,0,12,39,48,0,12,39,48,133,118,112,115,21,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001004701,"Census Tract 47.01, District of Columbia, DC",3983,532,3755,447,626,158,2603,509,0,12,436,133,0,12,0,12,90,95,0,12,90,95,228,228,148,137,0,12,0,12,0,12,0,12,0,12,80,138,0,12,80,138
14000US11001004702,"Census Tract 47.02, District of Columbia, DC",2285,207,2204,198,1069,182,951,184,0,12,175,75,0,12,0,12,9,11,0,12,9,11,81,44,64,42,0,12,0,12,6,10,0,12,11,12,0,12,0,12,0,12
14000US11001004801,"Census Tract 48.01, District of Columbia, DC",2138,267,2031,254,715,163,1025,201,0,12,220,108,0,12,0,12,71,52,0,12,71,52,107,69,94,59,0,12,0,12,0,12,0,12,3,6,10,16,10,16,0,12
14000US11001004802,"Census Tract 48.02, District of Columbia, DC",3313,342,2877,326,750,152,1612,296,0,12,462,189,0,12,0,12,53,34,0,12,53,34,436,261,232,230,5,13,0,12,12,19,0,12,187,273,0,12,0,12,0,12
14000US11001004901,"Census Tract 49.01, District of Columbia, DC",2513,326,2039,248,800,153,1012,178,0,12,176,143,0,12,0,12,51,39,5,12,46,36,474,306,373,306,0,12,0,12,0,12,0,12,88,82,13,18,13,18,0,12
14000US11001004902,"Census Tract 49.02, District of Columbia, DC",2759,246,2309,272,1334,221,725,165,0,12,238,101,0,12,0,12,12,17,0,12,12,17,450,195,336,204,0,12,0,12,0,12,0,12,114,104,0,12,0,12,0,12
14000US11001005001,"Census Tract 50.01, District of Columbia, DC",2092,260,1988,275,1157,170,500,203,0,12,55,38,0,12,0,12,276,128,5,8,271,128,104,80,76,77,0,12,0,12,0,12,0,12,13,19,15,23,15,23,0,12
14000US11001005002,"Census Tract 50.02, District of Columbia, DC",5935,462,4214,368,2500,367,1215,278,0,17,293,185,0,17,0,17,206,166,57,93,149,139,1721,533,760,487,0,17,0,17,0,17,0,17,944,479,17,27,0,17,17,27
14000US11001005201,"Census Tract 52.01, District of Columbia, DC",5825,483,5184,517,4215,485,308,111,11,20,395,138,0,17,25,40,230,160,0,17,230,160,641,363,384,241,0,17,0,17,0,17,0,17,231,205,26,41,0,17,26,41
14000US11001005301,"Census Tract 53.01, District of Columbia, DC",5278,394,4959,432,3968,391,180,97,75,59,523,145,0,17,0,17,213,97,15,24,198,92,319,145,299,147,0,17,0,17,0,17,0,17,0,17,20,29,18,29,2,4
14000US11001005500,"Census Tract 55, District of Columbia, DC",6508,649,5862,598,4489,559,277,147,90,83,838,321,0,17,0,17,168,116,0,17,168,116,646,262,486,240,35,54,0,17,0,17,0,17,59,63,66,78,0,17,66,78
14000US11001005600,"Census Tract 56, District of Columbia, DC",6477,810,5830,796,4337,621,389,182,0,17,897,314,0,17,30,48,177,138,64,108,113,80,647,262,460,210,34,38,0,17,0,17,0,17,127,135,26,32,18,28,8,14
14000US11001005800,"Census Tract 58, District of Columbia, DC",2697,195,2453,221,1554,183,221,105,0,12,594,147,0,12,5,9,79,59,0,12,79,59,244,135,115,65,9,13,0,12,0,12,0,12,103,122,17,20,0,12,17,20
14000US11001005900,"Census Tract 59, District of Columbia, DC",3043,443,2794,426,1711,236,677,290,0,12,326,127,0,12,0,12,80,60,15,35,65,49,249,106,98,49,26,28,0,12,0,12,0,12,125,113,0,12,0,12,0,12
14000US11001006202,"Census Tract 62.02, District of Columbia, DC",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001006400,"Census Tract 64, District of Columbia, DC",1986,255,1927,256,81,57,1782,260,10,16,54,62,0,12,0,12,0,12,0,12,0,12,59,47,22,34,22,21,0,12,0,12,0,12,15,24,0,12,0,12,0,12
14000US11001006500,"Census Tract 65, District of Columbia, DC",2415,236,2300,226,2016,234,203,81,0,12,42,35,0,12,0,12,39,31,0,12,39,31,115,79,92,70,0,12,0,12,0,12,0,12,23,38,0,12,0,12,0,12
14000US11001006600,"Census Tract 66, District of Columbia, DC",1932,226,1866,224,1682,207,72,57,44,69,61,57,0,12,0,12,7,14,0,12,7,14,66,42,56,37,0,12,0,12,0,12,0,12,3,15,7,12,7,12,0,12
14000US11001006700,"Census Tract 67, District of Columbia, DC",3957,264,3820,257,3136,210,436,158,0,12,176,113,0,12,0,12,72,51,0,12,72,51,137,78,112,74,0,12,0,12,0,12,0,12,16,17,9,15,9,15,0,12
14000US11001006801,"Census Tract 68.01, District of Columbia, DC",2078,203,2046,206,659,105,1309,195,0,12,40,25,0,12,0,12,38,25,0,12,38,25,32,27,10,13,0,12,5,8,0,12,0,12,17,22,0,12,0,12,0,12
14000US11001006802,"Census Tract 68.02, District of Columbia, DC",2267,253,2106,244,1042,200,869,184,20,22,18,15,0,12,7,11,150,84,0,12,150,84,161,75,96,61,0,12,0,12,22,26,0,12,20,21,23,31,23,31,0,12
14000US11001006804,"Census Tract 68.04, District of Columbia, DC",3008,233,2874,239,83,45,2760,234,0,12,0,12,0,12,22,28,9,16,0,12,9,16,134,69,10,15,12,15,0,12,0,12,0,12,106,63,6,13,6,13,0,12
14000US11001006900,"Census Tract 69, District of Columbia, DC",2148,165,2094,166,1483,176,556,113,0,12,41,32,0,12,0,12,14,21,0,12,14,21,54,39,38,29,0,12,0,12,0,12,0,12,0,12,16,18,9,14,7,12
14000US11001007000,"Census Tract 70, District of Columbia, DC",2729,322,2467,296,1891,273,362,108,0,12,18,20,0,12,32,39,164,93,0,12,164,93,262,144,193,123,9,20,0,12,0,12,0,12,60,107,0,12,0,12,0,12
14000US11001007100,"Census Tract 71, District of Columbia, DC",3335,532,3152,482,1041,175,1969,449,0,12,72,45,0,12,16,27,54,44,0,12,54,44,183,197,134,203,21,32,0,12,9,14,0,12,19,30,0,12,0,12,0,12
14000US11001007200,"Census Tract 72, District of Columbia, DC",4247,525,4111,503,2792,454,1036,296,7,11,168,82,0,12,0,12,108,79,0,12,108,79,136,75,106,66,18,28,0,12,0,12,0,12,12,18,0,12,0,12,0,12
14000US11001007301,"Census Tract 73.01, District of Columbia, DC",3602,518,3275,526,2167,405,897,377,0,12,49,49,0,12,123,125,39,36,0,12,39,36,327,146,243,129,1,3,14,22,8,13,0,12,40,39,21,24,15,17,6,15
14000US11001007304,"Census Tract 73.04, District of Columbia, DC",3640,358,3578,361,106,58,3417,390,0,12,0,12,0,12,0,12,55,55,36,56,19,23,62,57,0,12,62,57,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007401,"Census Tract 74.01, District of Columbia, DC",2448,283,2404,283,4,6,2389,281,0,12,11,11,0,12,0,12,0,12,0,12,0,12,44,35,0,12,44,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007403,"Census Tract 74.03, District of Columbia, DC",3328,417,3213,441,15,23,3198,443,0,12,0,12,0,12,0,12,0,12,0,12,0,12,115,126,0,12,64,103,0,12,0,12,0,12,51,79,0,12,0,12,0,12
14000US11001007404,"Census Tract 74.04, District of Columbia, DC",3747,495,3734,493,6,10,3679,495,22,34,0,12,0,12,0,12,27,43,0,12,27,43,13,21,0,12,0,12,0,12,0,12,0,12,0,12,13,21,0,12,13,21
14000US11001007406,"Census Tract 74.06, District of Columbia, DC",3129,425,3077,427,0,12,3017,421,0,12,0,12,16,25,0,12,44,69,0,12,44,69,52,56,0,12,49,56,0,12,0,12,0,12,3,8,0,12,0,12,0,12
14000US11001007407,"Census Tract 74.07, District of Columbia, DC",2950,308,2950,308,21,26,2837,314,0,12,0,12,0,12,0,12,92,100,0,12,92,100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007408,"Census Tract 74.08, District of Columbia, DC",3357,474,3322,472,16,27,3306,469,0,12,0,12,0,12,0,12,0,12,0,12,0,12,35,38,0,12,0,12,6,13,0,12,0,12,6,10,23,35,23,35,0,12
14000US11001007409,"Census Tract 74.09, District of Columbia, DC",3848,455,3836,448,25,33,3766,432,0,12,45,75,0,12,0,12,0,12,0,12,0,12,12,20,0,12,12,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007502,"Census Tract 75.02, District of Columbia, DC",5272,564,5263,564,29,30,5219,559,0,12,0,12,0,12,0,12,15,14,0,12,15,14,9,14,9,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007503,"Census Tract 75.03, District of Columbia, DC",2612,349,2597,354,29,30,2557,360,0,12,4,6,0,12,0,12,7,13,0,12,7,13,15,24,0,12,0,12,0,12,0,12,0,12,15,24,0,12,0,12,0,12
14000US11001007504,"Census Tract 75.04, District of Columbia, DC",2530,407,2530,407,54,67,2475,403,1,2,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007601,"Census Tract 76.01, District of Columbia, DC",3878,583,3810,581,81,54,3688,573,23,36,0,12,18,32,0,12,0,12,0,12,0,12,68,95,0,12,60,95,0,12,0,12,0,12,8,14,0,12,0,12,0,12
14000US11001007603,"Census Tract 76.03, District of Columbia, DC",3632,531,3238,485,267,131,2928,505,0,12,43,47,0,12,0,12,0,12,0,12,0,12,394,279,78,76,103,126,0,12,0,12,0,12,165,236,48,58,11,21,37,43
14000US11001007604,"Census Tract 76.04, District of Columbia, DC",3806,371,3724,368,135,79,3514,377,62,50,0,12,0,12,0,12,13,21,0,12,13,21,82,64,19,28,63,57,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007605,"Census Tract 76.05, District of Columbia, DC",3535,414,3511,415,44,36,3197,318,28,38,130,157,0,12,0,12,112,98,0,12,112,98,24,25,24,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007703,"Census Tract 77.03, District of Columbia, DC",4883,679,4811,680,0,17,4811,680,0,17,0,17,0,17,0,17,0,17,0,17,0,17,72,82,0,17,0,17,0,17,0,17,0,17,72,82,0,17,0,17,0,17
14000US11001007707,"Census Tract 77.07, District of Columbia, DC",4392,570,4392,570,72,97,4187,580,0,12,0,12,0,12,0,12,133,200,25,40,108,160,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007708,"Census Tract 77.08, District of Columbia, DC",2797,356,2797,356,0,12,2797,356,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007709,"Census Tract 77.09, District of Columbia, DC",1770,255,1686,243,19,17,1608,232,0,12,0,12,0,12,7,10,52,54,0,12,52,54,84,94,19,28,2,5,0,12,0,12,0,12,63,89,0,12,0,12,0,12
14000US11001007803,"Census Tract 78.03, District of Columbia, DC",3006,480,2885,454,34,32,2781,458,47,63,5,8,0,12,2,8,16,21,0,12,16,21,121,139,6,10,0,12,0,12,0,12,0,12,115,139,0,12,0,12,0,12
14000US11001007804,"Census Tract 78.04, District of Columbia, DC",3295,599,3156,589,21,17,3097,584,0,12,19,24,0,12,0,12,19,25,0,12,19,25,139,176,0,12,40,55,0,12,0,12,0,12,99,166,0,12,0,12,0,12
14000US11001007806,"Census Tract 78.06, District of Columbia, DC",2116,255,2110,256,58,51,2018,269,13,20,0,12,0,12,0,12,21,24,0,12,21,24,6,9,0,12,0,12,0,12,0,12,0,12,1,4,5,8,0,12,5,8
14000US11001007807,"Census Tract 78.07, District of Columbia, DC",2220,229,2194,229,2,5,2172,229,0,12,6,9,0,12,0,12,14,17,0,12,14,17,26,41,26,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001007808,"Census Tract 78.08, District of Columbia, DC",4324,730,4254,732,31,30,4216,729,0,12,7,10,0,12,0,12,0,12,0,12,0,12,70,66,8,13,23,28,0,12,0,12,0,12,29,47,10,15,0,12,10,15
14000US11001007809,"Census Tract 78.09, District of Columbia, DC",2664,454,2610,457,56,67,2495,451,11,17,15,21,0,12,0,12,33,34,0,12,33,34,54,53,0,12,8,12,0,12,0,12,0,12,0,12,46,52,33,51,13,20
14000US11001007901,"Census Tract 79.01, District of Columbia, DC",4017,444,3911,435,611,117,3116,427,74,86,18,27,0,12,17,27,75,68,9,15,66,66,106,69,17,23,47,45,8,13,0,12,0,12,25,39,9,14,0,12,9,14
14000US11001007903,"Census Tract 79.03, District of Columbia, DC",1692,239,1676,245,230,97,1359,266,16,26,22,20,0,12,0,12,49,31,0,12,49,31,16,18,16,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001008001,"Census Tract 80.01, District of Columbia, DC",3021,346,2890,334,1683,303,894,373,0,12,268,196,0,12,0,12,45,47,0,12,45,47,131,80,120,78,0,12,0,12,0,12,0,12,11,17,0,12,0,12,0,12
14000US11001008002,"Census Tract 80.02, District of Columbia, DC",3685,258,3512,276,2075,251,1198,188,0,12,119,65,0,12,0,12,120,84,9,14,111,83,173,117,95,69,0,12,0,12,0,12,0,12,41,45,37,54,37,54,0,12
14000US11001008100,"Census Tract 81, District of Columbia, DC",3215,303,3029,291,2484,285,383,84,0,12,86,53,0,12,0,12,76,59,6,11,70,57,186,70,137,60,9,14,0,12,0,12,0,12,29,33,11,19,0,12,11,19
14000US11001008200,"Census Tract 82, District of Columbia, DC",3053,333,2814,305,2500,289,168,96,0,12,82,54,0,12,9,14,55,38,9,14,46,35,239,119,161,96,0,12,0,12,0,12,0,12,14,19,64,71,0,12,64,71
14000US11001008301,"Census Tract 83.01, District of Columbia, DC",2491,273,2349,284,1869,259,260,59,0,12,121,76,0,12,6,9,93,55,0,12,93,55,142,93,88,67,29,45,0,12,0,12,0,12,25,28,0,12,0,12,0,12
14000US11001008302,"Census Tract 83.02, District of Columbia, DC",2392,170,2276,177,1711,169,425,129,0,12,82,44,0,12,5,9,53,35,6,8,47,34,116,76,86,72,9,12,14,17,0,12,0,12,7,10,0,12,0,12,0,12
14000US11001008402,"Census Tract 84.02, District of Columbia, DC",2011,315,1943,309,946,227,873,295,0,12,47,47,0,12,0,12,77,81,0,12,77,81,68,43,32,31,9,15,0,12,0,12,0,12,13,20,14,18,5,11,9,14
14000US11001008410,"Census Tract 84.10, District of Columbia, DC",1480,240,1436,241,547,96,832,194,0,12,31,23,0,12,5,8,21,25,0,12,21,25,44,41,37,40,0,12,0,12,0,12,0,12,7,10,0,12,0,12,0,12
14000US11001008701,"Census Tract 87.01, District of Columbia, DC",2359,350,2263,353,563,124,1631,329,0,12,0,12,0,12,0,12,69,75,31,70,38,29,96,58,90,57,6,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001008702,"Census Tract 87.02, District of Columbia, DC",1761,194,1641,209,224,73,1389,224,0,12,7,12,0,12,0,12,21,16,0,12,21,16,120,105,10,14,18,32,0,12,0,12,0,12,92,100,0,12,0,12,0,12
14000US11001008802,"Census Tract 88.02, District of Columbia, DC",4556,521,4538,522,617,166,3629,507,46,54,103,100,0,12,58,54,85,61,0,12,85,61,18,23,6,12,0,12,0,12,0,12,0,12,0,12,12,19,0,12,12,19
14000US11001008803,"Census Tract 88.03, District of Columbia, DC",1931,382,1784,357,502,137,1154,309,7,16,61,39,0,12,0,12,60,53,18,32,42,43,147,70,93,54,14,18,0,12,0,12,0,12,35,33,5,12,5,12,0,12
14000US11001008804,"Census Tract 88.04, District of Columbia, DC",2676,445,2538,477,115,62,2159,468,0,12,170,187,0,12,41,55,53,54,0,12,53,54,138,146,9,14,21,33,0,12,0,12,0,12,108,149,0,12,0,12,0,12
14000US11001008903,"Census Tract 89.03, District of Columbia, DC",3365,518,3165,509,166,107,2875,522,0,12,72,81,0,12,11,18,41,67,0,12,41,67,200,185,55,68,47,64,0,12,0,12,0,12,98,156,0,12,0,12,0,12
14000US11001008904,"Census Tract 89.04, District of Columbia, DC",3133,362,2800,334,120,75,2566,331,0,12,12,14,0,12,0,12,102,107,0,12,102,107,333,304,0,12,0,12,0,12,48,79,0,12,285,283,0,12,0,12,0,12
14000US11001009000,"Census Tract 90, District of Columbia, DC",2979,299,2924,294,68,41,2845,288,0,12,0,12,0,12,0,12,11,17,0,12,11,17,55,63,3,7,10,16,0,12,0,12,0,12,0,12,42,60,36,60,6,12
14000US11001009102,"Census Tract 91.02, District of Columbia, DC",5253,454,4720,582,329,168,4303,576,0,17,43,39,0,17,0,17,45,48,0,17,45,48,533,362,255,344,130,130,0,17,0,17,0,17,138,138,10,16,10,16,0,17
