AREALAND,BASENAME,GEOID,POP100,percent_poverty,medianHouseholdIncome,percent_white,percent_POC,Uproduct,mean_expected_waitTime,mean_expected_waitTime_surge,mean_surge_multiplier,proportion,popDensity,percent_POC_zscore,percent_poverty_zscore,medianHouseholdIncome_zscore,proportion_zscore,mean_expected_waitTime_zscore,popDensity_zscore
1868613,1.0,11001000100,4890,2.372685185185185,170338.0,91.31944444444444,6.6550925925925934,uberX,210.20890247322268,256.7593980661503,1.5900443786982201,26.124719231390504,0.0026169142567241048,-1.541917100099746,-1.1678649182181466,2.3466998883828976,1.1238945860018068,-1.0092893669525427,-0.8272756725329364
542460,2.01,11001000201,3916,86.41975308641975,,71.17585848074923,23.907388137356918,uberX,229.04275092936803,289.42128935532236,1.5987106446776536,25.828686493184634,0.007218965453674004,-1.0158559255606334,4.456719144557173,,1.0852818004394358,-0.7170505527188589,0.22746605298858566
803422,2.02,11001000202,5425,19.738671114817905,152256.0,87.98066359041968,8.855196660074709,uberX,186.2212943632568,238.48833592534993,1.5917884914463372,24.858888115673082,0.006752366751221649,-1.4748309939728914,-0.00570126238455783,1.9061207557594877,0.9587869505233856,-1.3814974245187794,0.1205265385223242
1010815,3.0,11001000300,6233,11.99210396446784,135045.0,86.77414048363218,7.715084717881231,uberX,286.138818917602,352.16104572060044,1.6186804576085194,24.820504069737275,0.006166311342827323,-1.509595563468015,-0.5241157558714601,1.486764077760289,0.9537803592128502,0.1688909076863229,-0.013791196384826518
1532717,4.0,11001000400,1455,9.609012591119948,225179.0,80.8120497707924,14.014407334643092,uberX,282.79303944233845,341.66440153323595,1.618941083375291,27.064315344276658,0.0009492946186412756,-1.3175150924387429,-0.6835966050358963,3.682934829882756,1.2464500284910087,0.1169755156295614,-1.2094765519474922
940549,5.01,11001000501,3376,9.957369062119367,100109.0,82.77298423088367,9.193692353466231,uberX,245.92282659228266,302.8313891834571,1.614978791092244,29.22671625600496,0.0035893930034479864,-1.4645095013008038,-0.6602839505450759,0.6355267933154569,1.5285010043745433,-0.45512780722201757,-0.6043937732545523
581506,5.02,11001000502,3189,3.8300611522368846,113688.0,86.12809784357901,8.915352429996782,uberX,221.78173374613004,281.8630573248408,1.6161093418258878,29.1640866873065,0.00548403627821553,-1.4729967096657162,-1.070334643308576,0.9663875411250623,1.5203319683392937,-0.8297174384432947,-0.1701614643657424
1442823,6.0,11001000600,4539,7.217451844975632,155031.0,81.2210711924179,15.120123429579015,uberX,267.55742864981363,327.94999795122465,1.6467744305657552,26.578547713217112,0.00314591602712183,-1.2837993294494336,-0.8436442401744539,1.9737353499985077,1.183089328978784,-0.11943059342992672,-0.7060340313093368
548945,7.01,11001000701,4620,7.429335370511842,78040.0,83.36516424751719,10.828877005347595,uberX,240.6144774614012,308.96778042959426,1.6474642004773228,26.00667235627279,0.008416143693812677,-1.4146490548271695,-0.8294646057070615,0.09780193556376812,1.1084972394013832,-0.5374957661210933,0.5018467125513415
293676,7.02,11001000702,3364,8.65839243498818,71032.0,80.96926713947991,11.702127659574469,uberX,265.0890426938331,334.9205397301349,1.6430884557721097,25.93514270160977,0.011454800528473556,-1.3880216843628923,-0.7472138508655177,-0.07295232621174663,1.099167328008499,-0.15773175033508657,1.198274895528132
2931409,8.01,11001000801,6709,14.560483230011126,135119.0,80.36509349955476,11.130899376669635,uberX,301.12354430923364,360.2273890549818,1.654884326036538,22.974993483337773,0.0022886605042148674,-1.4054397155260598,-0.352235100842385,1.4885671336066628,0.7130627110310701,0.4014041080693771,-0.9025079797180399
1647257,8.02,11001000802,2869,15.014624634384141,91037.0,80.5004874878128,13.422164445888853,uberX,282.2095296767981,341.3582591379385,1.6085897935333067,19.91068428504863,0.0017416832953206453,-1.3355739060535516,-0.321843124428829,0.4144818927978385,0.31337207313933985,0.10792138086935316,-1.0278694023620127
2959234,9.01,11001000901,7175,12.120545534535855,231042.0,82.92369064470468,13.16432891519753,uberX,334.09229177163763,390.4084797696854,1.6412720291424614,20.035137889196566,0.0024246139372553844,-1.3434358895073741,-0.5155202102320651,3.8257904572785666,0.3296050761462117,0.9129696379512406,-0.871348882954673
1855956,9.02,11001000902,2092,3.384747215081405,191607.0,92.1165381319623,4.712939160239932,uberX,334.5063497034115,399.98313554878223,1.6205306223654863,15.881045000805146,0.0011271818943983586,-1.6011377129803706,-1.1001358694120231,2.864932250498112,-0.21223059675183356,0.9193944427003818,-1.1687066595341478
2454383,10.01,11001001001,7436,5.259697567389876,157621.0,83.21304131408661,7.553509208561474,uberX,277.3988294335719,338.57945596269747,1.63655731662366,21.278758917024305,0.003029682001545806,-1.5145223630344242,-0.9746607501314575,2.0368423046215933,0.4918157571654633,0.033275280897395544,-0.7326736473096155
889584,10.02,11001001002,3442,27.510668563300143,90221.0,79.18088737201366,16.24004550625711,uberX,280.2997658079625,344.8173448173448,1.669260469260465,26.284153005464482,0.0038692242666235003,-1.2496503942239208,0.5144150733338181,0.3945995472486347,1.1446901985648905,0.07828818456354189,-0.5402593912702265
1676582,11.0,11001001100,4779,5.588776448942042,123378.0,81.70155300472653,13.324330407382398,uberX,265.5061690966006,336.3692310117892,1.5898051948051974,18.045135962519034,0.002850442149563815,-1.338557085252695,-0.9526381873128555,1.202490394521857,0.07004081940489042,-0.1512593331010739,-0.7737535359660054
1218245,12.0,11001001200,5008,6.946721311475409,101628.0,84.61065573770492,9.59016393442623,uberX,247.29859895833047,318.2601716411418,1.6124297752808918,22.224587770677783,0.004110831565079274,-1.4524201938222698,-0.861762024435785,0.6725381694052125,0.6151841620458285,-0.4337803866008171,-0.48488553992308553
2854430,13.01,11001001301,3955,9.38423645320197,119234.0,81.00048100048099,16.161616161616163,uberX,312.5973147525495,384.5633491491835,1.539362031588725,16.836006011703578,0.001385565594532008,-1.2520418807975826,-0.6986390367898667,1.1015192671249203,-0.0876710464881626,0.5794389413086787,-1.1094878333928342
1592752,13.02,11001001302,6857,9.928168291431504,93795.0,80.75936377629553,14.558748075936379,uberX,305.90495517728715,379.0800364512885,1.5993480772404634,23.85148983868993,0.004305127226335299,-1.3009169227069974,-0.6622381197211467,0.4816822715045836,0.8273877887928293,0.4755957341567195,-0.4403550181526307
788162,14.01,11001001401,3078,10.891089108910892,113345.0,81.57815781578158,12.301230123012301,uberX,278.37245421390685,354.4387967163175,1.5437411698219876,13.81650638413753,0.0039052885066775613,-1.3697537069353305,-0.5977976910547518,0.9580301336209239,-0.48151698505386953,0.04838270580718739,-0.5319938468083454
895209,14.02,11001001402,2998,9.04669260700389,128625.0,73.1888745148771,20.18111254851229,uberX,293.00576234231426,372.28498074454427,1.4937098844672672,12.132066656284069,0.0033489386277394443,-1.1294784233805784,-0.7212280905810664,1.3303368002775828,-0.7012254889123615,0.2754430766984346,-0.659503386835583
