,AREALAND,AREAWATER,BASENAME,CENTLAT,CENTLON,COUNTY,FUNCSTAT,GEOID,HU100,INTPTLAT,INTPTLON,LSADC,MTFCC,NAME,OBJECTID,OID,POP100,STATE,TRACT,UR
150,889584,137,10.02,+38.9384216,-077.0788872,001,S,11001001002,2342,+38.9383001,-077.0781397,CT,G5020,Census Tract 10.02,63584,20740331302839,3442,11,001002,U
151,737121,124915,77.08,+38.8855646,-076.9615793,001,S,11001007708,1262,+38.8877672,-076.9594027,CT,G5020,Census Tract 77.08,63633,20740331304683,2486,11,007708,U
152,4686643,12091,15,+38.9735016,-077.0540783,001,S,11001001500,2126,+38.9741576,-077.0558797,CT,G5020,Census Tract 15,63557,20740331302959,5911,11,001500,U
153,895209,0,14.02,+38.9606051,-077.0630933,001,S,11001001402,1612,+38.9606051,-077.0630933,CT,G5020,Census Tract 14.02,63556,20740331302942,2998,11,001402,U
154,1647257,640778,8.02,+38.9107950,-077.0875612,001,S,11001000802,1423,+38.9112783,-077.0871196,CT,G5020,Census Tract 8.02,63551,20740331302768,2869,11,000802,U
155,1676582,0,11,+38.9572428,-077.0776732,001,S,11001001100,2234,+38.9572428,-077.0776732,CT,G5020,Census Tract 11,63587,20740331302855,4779,11,001100,U
156,1218245,0,12,+38.9462264,-077.0705239,001,S,11001001200,2633,+38.9462264,-077.0705239,CT,G5020,Census Tract 12,63589,20740331302873,5008,11,001200,U
157,2454383,0,10.01,+38.9489546,-077.0884650,001,S,11001001001,2834,+38.9489546,-077.0884650,CT,G5020,Census Tract 10.01,63590,20740331302821,7436,11,001001,U
158,1369578,0,76.04,+38.8660921,-076.9638007,001,S,11001007604,1931,+38.8660921,-076.9638007,CT,G5020,Census Tract 76.04,63649,20740331304612,3644,11,007604,U
159,842852,0,77.07,+38.8779453,-076.9353432,001,S,11001007707,1721,+38.8779453,-076.9353432,CT,G5020,Census Tract 77.07,63650,20740331304662,3867,11,007707,U
160,453791,0,76.05,+38.8660433,-076.9752566,001,S,11001007605,1804,+38.8660433,-076.9752566,CT,G5020,Census Tract 76.05,63642,20740331304627,3447,11,007605,U
161,1017266,1059,77.03,+38.8862220,-076.9475071,001,S,11001007703,2338,+38.8863224,-076.9474550,CT,G5020,Census Tract 77.03,63643,20740331304642,5187,11,007703,U
162,2665665,35624,16,+38.9845487,-077.0378355,001,S,11001001600,1685,+38.9849725,-077.0382324,CT,G5020,Census Tract 16,64709,20740331302974,3957,11,001600,U
163,1136289,31934,18.03,+38.9670776,-077.0397341,001,S,11001001803,1612,+38.9672267,-077.0419399,CT,G5020,Census Tract 18.03,64710,20740331303045,3514,11,001803,U
164,749889,0,105,+38.8818529,-077.0133789,001,S,11001010500,2347,+38.8818529,-077.0133789,CT,G5020,Census Tract 105,66114,20740331302504,3410,11,010500,U
165,293676,158,7.02,+38.9241127,-077.0778193,001,S,11001000702,2471,+38.9241146,-077.0790316,CT,G5020,Census Tract 7.02,66113,20740331302540,3364,11,000702,U
166,1084530,61,103,+38.9761556,-077.0271875,001,S,11001010300,1306,+38.9756846,-077.0301328,CT,G5020,Census Tract 103,64722,20740331303028,3187,11,010300,U
167,632723,2202,20.01,+38.9593499,-077.0359403,001,S,11001002001,1026,+38.9597034,-077.0351061,CT,G5020,Census Tract 20.01,64726,20740331303113,2340,11,002001,U
168,839831,4303,78.04,+38.8954440,-076.9313435,001,S,11001007804,1378,+38.8942107,-076.9313427,CT,G5020,Census Tract 78.04,64840,20740331304747,3446,11,007804,U
169,849779,0,20.02,+38.9525051,-077.0310810,001,S,11001002002,1436,+38.9525051,-077.0310810,CT,G5020,Census Tract 20.02,64831,20740331303133,3813,11,002002,U
170,523815,0,78.07,+38.8985726,-076.9210475,001,S,11001007807,906,+38.8985726,-076.9210475,CT,G5020,Census Tract 78.07,64834,20740331304770,2139,11,007807,U
171,601353,0,18.04,+38.9670983,-077.0304349,001,S,11001001804,1924,+38.9670983,-077.0304349,CT,G5020,Census Tract 18.04,64715,20740331303063,4480,11,001804,U
172,838021,86864,77.09,+38.8773966,-076.9678761,001,S,11001007709,1144,+38.8800570,-076.9674933,CT,G5020,Census Tract 77.09,64820,20740331304704,2007,11,007709,U
173,600991,0,21.01,+38.9559119,-077.0241312,001,S,11001002101,2183,+38.9559119,-077.0241312,CT,G5020,Census Tract 21.01,64821,20740331303150,5309,11,002101,U
174,877350,0,19.02,+38.9639299,-077.0156458,001,S,11001001902,861,+38.9639299,-077.0156458,CT,G5020,Census Tract 19.02,64717,20740331303095,1969,11,001902,U
175,769306,0,19.01,+38.9646853,-077.0236327,001,S,11001001901,1603,+38.9646853,-077.0236327,CT,G5020,Census Tract 19.01,64719,20740331303079,4016,11,001901,U
176,939294,0,17.02,+38.9717231,-077.0160682,001,S,11001001702,1312,+38.9717231,-077.0160682,CT,G5020,Census Tract 17.02,64720,20740331303011,2644,11,001702,U
177,1007762,1639,78.03,+38.8960102,-076.9414537,001,S,11001007803,1652,+38.8962674,-076.9407751,CT,G5020,Census Tract 78.03,64835,20740331304725,3293,11,007803,U
178,936697,6812,78.08,+38.8927892,-076.9194177,001,S,11001007808,1598,+38.8922212,-076.9192026,CT,G5020,Census Tract 78.08,64829,20740331304792,3646,11,007808,U
